"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",14,48,7,1,3,7,4,1,2,4,1,1,1,1,1
"2",14,15,4,4,5,1,4,2,1,1,1,1,1,1,1
"3",16,46,1,1,1,3,2,1,2,3,1,1,1,1,3
"4",18,15,2,1,8,5,1,1,32,10,1,2,1,1,4
"5",11,153,7,7,5,15,1,1,17,4,3,1,2,2,3
"6",6,223,1,1,15,8,1,1,1,2,1,1,1,2,1
"7",10,97,4,1,1,9,1,2,12,5,4,2,2,1,1
"8",13,119,3,5,15,4,2,1,3,1,1,1,1,1,1
"9",14,64,2,1,5,3,2,2,4,1,1,1,1,2,2
"10",5,80,19,2,7,5,8,1,1,2,1,1,8,1,1
"11",9,48,9,3,4,1,3,1,2,2,1,1,1,1,1
"12",15,111,8,1,2,11,5,1,5,4,1,1,2,1,1
"13",19,109,1,4,9,1,14,2,1,2,1,3,2,1,1
"14",7,335,3,8,1,4,4,2,1,6,3,4,1,1,4
"15",8,318,1,2,1,1,5,5,1,4,7,1,4,1,2
"16",11,138,1,5,6,5,11,1,1,2,1,1,1,1,2
"17",12,120,2,2,1,3,20,1,3,3,2,3,1,1,1
"18",5,109,2,1,12,1,14,4,1,5,3,2,2,1,2
"19",13,36,2,6,6,2,1,1,4,3,5,1,2,1,1
"20",10,33,2,1,62,7,1,1,1,1,2,1,1,2,1
"21",10,64,1,30,24,7,1,3,1,2,1,5,1,1,1
"22",21,105,1,1,26,5,2,3,1,5,1,1,1,1,1
"23",18,78,1,2,43,1,18,2,1,1,1,3,1,1,2
"24",21,290,1,7,19,2,4,1,1,1,1,5,1,2,1
"25",14,181,2,1,16,3,16,1,1,3,6,3,3,3,1
"26",7,152,1,1,8,1,46,1,1,1,1,2,8,4,1
"27",12,153,5,17,11,4,1,1,1,1,1,1,2,3,1
"28",17,88,3,15,1,19,43,1,1,2,1,1,15,1,1
"29",26,79,2,18,4,2,8,1,1,3,1,1,1,1,2
"30",30,79,1,16,2,8,2,1,1,2,1,1,1,1,1
"31",21,50,1,5,2,2,7,2,1,1,2,1,1,3,1
"32",12,23,1,7,7,1,1,3,2,1,2,1,1,3,2
"33",20,48,1,5,1,25,4,8,1,4,1,3,1,5,1
"34",6,34,2,22,1,10,3,2,11,1,1,2,1,7,1
"35",27,23,3,6,1,2,5,1,1,4,2,1,2,3,6
"36",14,35,1,46,2,3,2,1,1,1,1,1,8,4,2
"37",8,34,5,19,1,14,1,1,14,4,1,1,3,1,1
"38",18,27,31,8,1,2,1,2,4,3,1,1,2,3,1
"39",33,19,1,7,3,7,2,1,1,1,1,2,1,2,1
"40",12,19,1,3,4,5,3,2,2,1,1,3,2,1,1
"41",29,114,2,2,3,6,31,1,1,1,1,1,1,1,3
"42",9,96,2,1,3,3,43,1,1,1,1,1,1,1,4
"43",8,31,1,15,1,21,15,1,1,2,2,1,1,2,2
"44",13,37,2,37,1,1,41,1,1,1,1,1,2,4,4
"45",5,37,3,4,1,5,38,1,1,13,1,2,4,2,2
"46",16,33,1,19,1,3,18,3,3,42,1,2,1,3,8
"47",13,24,1,4,1,4,19,1,1,38,1,1,1,1,1
"48",5,26,1,15,1,4,48,1,1,29,1,2,2,2,1
"49",7,22,2,32,6,3,16,2,2,12,1,2,2,2,1
"50",9,30,3,10,1,7,2,1,1,2,1,1,2,1,2
"51",4,41,2,20,2,3,5,1,2,1,1,1,1,1,2
"52",12,29,1,12,2,2,3,2,1,1,1,1,7,1,4
"53",10,30,1,12,3,12,6,4,1,2,1,2,4,1,1
"54",5,14,2,9,2,7,5,8,1,3,1,4,5,1,1
"55",9,21,1,5,1,2,9,3,2,7,1,2,1,1,1
"56",12,5,2,6,3,1,8,3,1,3,1,1,7,2,1
"57",17,12,1,15,4,1,1,5,4,7,1,3,2,3,1
"58",11,6,1,17,3,2,3,2,1,8,2,2,7,2,1
"59",11,7,1,27,5,3,17,2,5,4,1,1,8,4,1
"60",13,7,2,21,18,2,2,6,1,8,1,2,1,4,4
"61",10,1,1,25,13,2,7,1,1,7,1,1,2,1,1
"62",17,1,1,28,16,4,16,1,1,5,1,5,1,4,1
"63",14,2,1,27,5,1,1,2,7,6,1,2,11,1,1
"64",5,1,2,38,2,2,8,3,1,8,2,2,18,10,5
"65",14,5,1,4,1,3,41,5,1,2,1,1,2,3,1
"66",20,2,2,20,4,1,5,15,1,5,1,3,3,6,1
"67",20,6,1,10,3,1,5,17,1,8,2,1,1,2,3
"68",11,2,3,10,6,1,4,10,2,1,1,4,1,1,2
"69",18,3,4,3,4,1,8,5,1,6,10,1,1,2,3
"70",12,2,4,1,3,2,4,5,1,2,2,1,2,7,2
"71",12,3,5,2,3,1,7,5,2,3,6,3,4,4,6
"72",11,1,4,2,3,6,6,8,2,4,2,1,1,3,2
"73",23,6,1,4,2,2,3,2,1,4,2,11,2,6,1
"74",21,2,3,3,7,1,2,2,1,2,1,7,10,9,3
"75",35,1,4,3,4,2,3,6,1,3,3,6,2,3,3
"76",15,1,3,2,3,2,3,1,1,2,3,1,7,1,3
"77",22,3,4,5,1,4,8,2,2,11,1,3,3,1,4
"78",14,1,2,1,3,2,3,8,1,8,1,3,1,1,12
"79",18,1,3,2,8,4,1,3,1,7,2,9,1,1,20
"80",15,2,4,1,1,4,2,2,3,15,3,2,1,2,36
"81",7,2,3,1,1,3,4,3,3,15,2,1,1,2,34
"82",8,2,3,15,2,4,6,3,1,3,7,7,3,1,28
"83",12,1,3,4,1,1,6,3,1,6,2,2,1,1,24
"84",17,3,3,1,3,2,1,21,1,4,6,8,6,2,35
"85",23,3,1,1,1,2,1,5,2,4,10,12,3,1,33
"86",16,2,1,1,8,2,1,8,2,36,2,3,2,1,15
"87",53,1,1,2,3,1,1,9,2,7,4,1,6,1,20
"88",39,1,2,2,1,4,2,10,1,8,5,8,8,1,15
"89",24,9,1,8,1,7,1,2,1,8,2,8,10,1,10
"90",14,1,2,1,3,9,1,2,2,13,2,1,11,1,104
"91",14,1,3,2,1,1,1,3,1,8,2,2,9,1,60
"92",24,1,1,3,1,2,7,6,2,13,2,11,7,1,38
"93",21,6,4,2,3,1,3,1,32,11,1,5,3,1,16
"94",14,2,2,3,1,2,5,1,17,5,1,4,2,1,13
"95",22,7,2,1,3,1,3,2,1,4,1,5,5,2,11
"96",14,1,1,2,6,1,2,8,12,5,1,3,5,1,9
"97",14,1,2,1,6,1,1,4,3,33,1,6,1,1,6
"98",17,1,1,1,8,1,1,10,4,7,3,2,1,1,14
"99",11,1,2,1,3,3,1,6,1,10,1,5,1,2,10
"100",15,3,4,1,1,1,2,3,2,3,4,5,1,3,19
"101",23,3,1,1,6,6,1,3,5,12,1,4,2,4,14
"102",19,2,1,2,2,2,6,1,1,6,1,6,1,3,9
"103",22,1,1,1,8,2,54,3,1,15,1,9,2,1,16
"104",19,1,1,1,10,3,3,3,1,3,1,8,1,1,13
"105",18,1,1,3,4,1,4,5,1,11,1,9,1,1,12
"106",16,1,1,4,10,2,2,2,3,16,1,8,8,3,34
"107",11,3,2,1,3,2,2,4,1,1,3,8,1,3,6
"108",13,1,1,1,23,1,1,1,4,2,7,6,2,5,11
"109",9,2,2,4,7,7,1,1,1,9,1,4,2,7,8
"110",24,2,1,1,17,3,12,3,1,12,2,5,1,3,10
"111",10,2,2,1,4,3,41,2,1,9,3,13,4,4,8
"112",6,1,1,2,4,4,13,4,1,9,5,7,1,1,14
"113",6,1,2,1,3,2,30,2,1,15,2,14,1,3,13
"114",8,2,4,3,3,2,99,2,1,9,1,6,2,2,26
"115",12,1,4,2,8,6,44,1,1,15,1,4,2,1,8
"116",12,1,3,1,2,2,15,1,1,22,1,4,1,1,15
"117",5,2,1,1,2,1,4,2,1,15,1,6,1,1,22
"118",7,1,5,2,2,3,1,5,1,15,6,13,1,2,30
"119",10,1,1,1,2,2,1,1,1,26,1,6,1,4,11
"120",11,1,3,2,2,1,5,3,1,11,1,13,1,2,8
"121",25,4,2,1,5,1,6,1,2,13,1,6,3,3,20
"122",15,3,1,3,1,4,2,6,1,24,1,12,8,1,8
"123",16,3,1,1,3,2,8,3,11,22,1,18,2,2,9
"124",24,1,5,2,4,3,1,5,1,20,2,15,15,2,9
"125",20,2,1,1,10,5,1,1,1,11,2,8,1,1,11
"126",19,1,1,1,3,1,2,16,14,9,1,12,1,1,9
"127",19,2,5,3,5,1,7,7,4,15,1,20,1,1,15
"128",7,4,6,2,3,7,2,5,1,9,2,22,1,1,7
"129",15,2,1,5,1,2,22,1,2,4,1,7,1,1,14
"130",15,2,6,12,2,2,10,7,1,1,1,1,1,1,18
"131",10,2,21,3,4,3,11,5,1,3,1,2,2,2,10
"132",15,1,7,2,18,1,16,3,1,10,1,2,8,3,17
"133",14,4,1,2,8,1,6,8,1,4,1,9,3,2,17
"134",14,1,2,1,1,4,5,3,1,2,1,13,2,4,10
"135",17,1,11,1,1,12,8,2,3,5,1,15,1,4,16
"136",17,3,7,1,6,23,23,1,1,1,2,8,2,1,22
"137",13,3,1,2,2,3,8,2,1,1,1,5,1,4,14
"138",15,2,8,3,8,3,13,1,2,2,1,7,1,1,31
"139",15,3,6,4,6,3,16,1,1,2,1,4,1,10,32
"140",28,3,2,4,5,2,3,1,2,4,1,1,2,3,35
"141",23,1,5,4,3,5,10,1,1,2,1,1,4,6,42
"142",15,4,6,2,4,3,2,2,1,6,1,1,1,2,39
"143",23,2,6,1,5,2,1,1,1,4,1,2,1,1,52
"144",16,1,11,5,4,2,5,2,2,2,1,1,2,2,57
"145",17,2,8,6,2,1,11,1,1,3,1,1,2,7,28
"146",17,1,6,19,2,7,17,1,4,5,1,2,2,4,47
"147",17,2,9,12,3,3,12,1,1,3,1,1,1,3,40
"148",15,6,3,11,17,7,11,2,5,1,1,1,7,6,38
"149",31,10,13,3,2,4,7,2,1,2,1,1,4,9,32
"150",31,1,6,7,5,4,6,5,1,5,1,1,5,3,37
"151",31,1,6,5,3,5,4,1,1,1,2,1,1,1,51
"152",7,4,3,12,9,12,1,1,7,1,1,3,7,1,56
"153",21,1,5,8,5,5,6,4,1,3,1,4,2,1,21
"154",10,1,4,8,1,5,2,1,1,1,1,1,7,1,1
"155",16,16,6,8,11,10,16,1,1,1,1,1,8,2,1
"156",15,17,6,13,8,18,8,3,1,2,1,3,1,2,3
"157",86,9,4,18,8,16,4,3,2,3,2,2,2,1,4
"158",50,48,1,9,5,13,8,2,1,2,1,1,1,1,3
"159",78,15,8,14,7,9,10,1,1,1,1,1,11,2,1
"160",72,46,4,6,15,18,13,1,2,1,2,5,18,1,1
"161",34,15,5,9,14,17,6,1,2,4,1,1,2,1,1
"162",37,153,8,4,3,4,7,1,1,1,10,3,3,1,2
"163",27,223,4,7,5,9,4,1,1,4,2,5,1,1,1
"164",24,97,3,11,1,3,2,1,1,1,6,3,1,1,1
"165",13,119,7,4,8,6,11,1,1,4,2,2,1,1,1
"166",15,64,13,5,5,13,2,2,2,3,2,1,2,1,1
"167",14,80,12,2,15,7,3,3,1,1,1,1,4,1,4
"168",35,48,3,5,1,18,3,8,1,1,3,1,1,1,2
"169",52,111,7,6,15,4,4,2,3,1,3,1,2,1,2
"170",27,109,4,12,5,21,6,1,3,1,1,1,10,2,1
"171",20,335,1,6,7,15,9,1,1,2,1,1,2,1,2
"172",80,318,2,8,4,4,6,1,1,1,2,3,7,1,1
"173",25,138,7,5,2,10,4,2,1,13,3,2,3,1,1
"174",16,120,1,3,9,4,5,1,2,42,2,1,1,2,1
"175",18,109,4,4,1,5,5,2,2,38,7,1,1,3,1
"176",27,36,3,8,1,3,4,1,2,29,2,1,1,4,2
"177",19,33,2,8,6,6,5,1,1,12,6,1,1,3,1
"178",19,64,19,5,1,6,13,1,1,2,10,2,3,1,1
"179",22,105,9,4,12,1,6,1,2,1,2,3,1,1,1
"180",23,78,8,1,6,7,2,1,1,1,4,1,6,1,1
"181",87,290,1,9,62,10,31,3,2,2,5,1,3,3,1
"182",49,181,3,5,24,5,9,1,32,3,2,1,2,3,2
"183",58,152,1,9,26,4,4,1,17,7,2,1,6,5,1
"184",73,153,1,1,43,4,2,2,1,3,2,2,8,7,1
"185",60,88,2,8,19,1,20,1,12,7,2,2,10,3,2
"186",94,79,2,13,16,2,2,1,3,8,1,1,11,4,1
"187",68,79,2,5,8,2,6,2,4,4,1,2,9,1,1
"188",73,50,2,7,11,5,5,4,1,8,1,2,7,3,6
"189",76,23,1,3,1,5,8,8,2,7,1,1,3,2,2
"190",101,48,1,4,4,6,6,3,5,5,1,1,2,1,1
"191",98,34,1,2,2,8,4,3,1,6,3,1,5,1,1
"192",86,23,1,8,2,5,10,5,1,8,1,2,5,1,1
"193",62,35,2,3,7,6,7,2,1,2,4,4,1,2,1
"194",81,34,1,2,1,5,4,2,1,5,1,2,1,4,3
"195",100,27,5,12,1,4,4,6,3,8,1,1,1,2,4
"196",91,19,3,5,1,7,2,1,1,1,1,3,1,3,2
"197",78,19,2,1,2,6,4,1,4,6,1,2,2,1,4
"198",66,114,1,4,1,5,4,2,1,2,1,1,1,2,2
"199",82,96,1,1,1,2,2,3,1,3,1,2,2,2,8
"200",92,31,1,1,3,5,1,5,1,4,3,1,1,1,1
"201",120,37,1,7,4,4,1,15,1,4,7,5,1,1,1
"202",100,37,2,1,3,4,1,17,1,2,1,2,8,1,1
"203",94,33,3,1,3,2,1,10,1,3,2,2,1,1,2
"204",74,24,1,5,1,12,2,5,1,2,3,1,2,1,2
"205",111,26,5,1,1,6,2,5,1,11,5,3,2,1,4
"206",92,22,31,2,1,15,8,5,1,8,2,1,1,2,1
"207",112,30,1,3,1,7,3,8,1,7,1,4,4,3,1
"208",109,41,1,1,1,1,5,2,1,15,1,1,1,2,1
"209",188,29,2,4,1,3,14,2,1,15,1,1,1,4,1
"210",145,30,2,8,6,5,4,6,2,3,1,3,2,4,1
"211",141,14,1,2,1,15,5,1,1,6,6,1,2,1,1
"212",127,21,2,5,2,8,11,2,11,4,1,11,1,4,1
"213",122,5,3,2,2,9,20,8,1,4,1,7,1,1,4
"214",119,12,1,1,3,4,14,3,1,36,1,6,1,10,1
"215",120,6,1,6,2,3,1,2,14,7,1,1,1,3,1
"216",127,7,1,1,1,5,1,3,4,8,1,3,1,6,1
"217",143,7,2,30,3,1,1,3,1,8,2,3,3,2,5
"218",188,1,3,1,4,11,2,3,2,13,2,9,8,1,1
"219",240,1,2,2,3,1,18,21,1,8,1,2,2,2,1
"220",174,2,1,7,5,4,4,5,1,13,1,1,15,7,3
"221",142,1,1,1,18,1,16,8,1,11,2,7,1,4,2
"222",111,5,2,1,13,5,46,9,1,5,1,2,1,3,3
"223",138,2,1,17,16,3,1,10,1,4,1,8,1,6,2
"224",103,6,2,15,5,1,43,2,3,5,1,12,1,9,6
"225",99,2,1,18,2,2,8,2,1,33,1,3,1,3,2
"226",102,3,1,16,1,7,2,3,1,7,1,1,1,1,1
"227",114,2,1,5,4,7,7,6,2,10,1,8,2,1,3
"228",118,3,2,7,3,5,1,1,1,3,1,8,8,1,3
"229",117,1,1,5,6,1,4,1,2,12,2,1,3,1,3
"230",123,6,1,22,4,2,3,2,1,6,1,2,2,2,4
"231",143,2,1,6,3,3,5,8,1,15,1,11,1,2,12
"232",148,1,2,46,3,1,2,4,1,3,1,5,2,1,20
"233",123,1,1,19,3,4,1,10,2,11,1,4,1,1,36
"234",126,3,2,8,2,19,1,6,1,16,1,5,1,2,34
"235",119,1,1,7,7,2,2,3,4,1,1,3,1,1,28
"236",87,1,3,3,4,8,3,3,1,2,1,6,2,1,24
"237",101,2,4,2,3,2,31,1,5,9,1,2,4,1,35
"238",95,2,4,1,1,1,43,3,1,12,1,5,1,1,33
"239",118,2,5,15,3,25,15,3,1,9,1,5,1,1,15
"240",101,1,4,37,8,10,41,5,1,9,1,4,2,1,20
"241",188,3,1,4,1,2,38,2,7,15,1,6,2,1,15
"242",129,3,3,19,1,3,18,4,1,9,1,9,2,1,10
"243",132,2,4,4,2,14,19,1,1,15,1,8,1,1,104
"244",134,1,3,15,1,2,48,1,1,22,2,9,7,1,60
"245",127,1,4,32,3,7,16,3,1,15,1,8,4,2,38
"246",104,9,2,10,1,5,2,2,2,15,1,8,5,1,16
"247",107,1,3,20,8,6,5,4,1,26,1,6,1,1,13
"248",168,1,4,12,3,3,3,2,1,11,1,4,7,1,11
"249",105,1,3,12,1,21,6,2,2,13,1,5,2,2,9
"250",134,6,3,9,1,1,5,1,2,24,2,13,7,3,6
"251",154,2,3,5,3,5,9,1,1,22,1,7,8,4,14
"252",155,7,3,6,1,3,8,2,1,20,1,14,1,3,10
"253",179,1,1,15,1,4,1,5,1,11,2,6,2,1,19
"254",141,1,1,17,3,4,3,1,1,9,1,4,1,1,14
"255",125,1,1,27,1,3,17,3,2,15,10,4,11,1,9
"256",67,1,2,21,3,7,2,1,1,9,2,6,18,3,16
